# kapture format: 1.1
# query_image, map_image, score
testing/1LXtFkjw3qL_point0_query_0000.png, training/1LXtFkjw3qL_point0_database_0004.png, 0.6740636229515076
testing/1LXtFkjw3qL_point0_query_0001.png, training/1LXtFkjw3qL_point0_database_0005.png, 0.9112327098846436
testing/1LXtFkjw3qL_point0_query_0002.png, training/1LXtFkjw3qL_point0_database_0002.png, 0.6467310786247253
testing/1LXtFkjw3qL_point0_query_0003.png, training/1LXtFkjw3qL_point0_database_0005.png, 0.8476842045783997
testing/1LXtFkjw3qL_point0_query_0004.png, training/1LXtFkjw3qL_point0_database_0005.png, 0.8127034306526184
testing/1LXtFkjw3qL_point0_query_0005.png, training/1LXtFkjw3qL_point0_database_0004.png, 0.5662256479263306
testing/1LXtFkjw3qL_point0_query_0006.png, training/1LXtFkjw3qL_point4_database_0005.png, 0.9817203283309937
testing/1LXtFkjw3qL_point0_query_0007.png, training/1LXtFkjw3qL_point0_database_0003.png, 0.8706734776496887
testing/1LXtFkjw3qL_point0_query_0008.png, training/1LXtFkjw3qL_point0_database_0005.png, 0.8223283886909485
testing/1LXtFkjw3qL_point0_query_0009.png, training/1LXtFkjw3qL_point0_database_0005.png, 0.7472402453422546
testing/1LXtFkjw3qL_point0_query_0010.png, training/1LXtFkjw3qL_point0_database_0003.png, 0.9552435874938965
testing/1LXtFkjw3qL_point0_query_0011.png, training/1LXtFkjw3qL_point0_database_0005.png, 0.9074447751045227
testing/1LXtFkjw3qL_point0_query_0012.png, training/1LXtFkjw3qL_point0_database_0002.png, 0.7993349432945251
testing/1LXtFkjw3qL_point0_query_0013.png, training/1LXtFkjw3qL_point0_database_0000.png, 0.7353096604347229
testing/1LXtFkjw3qL_point0_query_0014.png, training/1LXtFkjw3qL_point0_database_0003.png, 0.6424624919891357
testing/1LXtFkjw3qL_point0_query_0015.png, training/1LXtFkjw3qL_point0_database_0005.png, 0.8596042394638062
testing/1LXtFkjw3qL_point0_query_0016.png, training/1LXtFkjw3qL_point0_database_0004.png, 0.8540849089622498
testing/1LXtFkjw3qL_point0_query_0017.png, training/1LXtFkjw3qL_point0_database_0003.png, 0.6524301767349243
testing/1LXtFkjw3qL_point0_query_0018.png, training/1LXtFkjw3qL_point0_database_0005.png, 0.8300818204879761
testing/1LXtFkjw3qL_point0_query_0019.png, training/1LXtFkjw3qL_point4_database_0005.png, 0.9826069474220276
testing/1LXtFkjw3qL_point0_query_0020.png, training/1LXtFkjw3qL_point0_database_0004.png, 0.6237701177597046
testing/1LXtFkjw3qL_point0_query_0021.png, training/1LXtFkjw3qL_point0_database_0004.png, 0.6414564847946167
testing/1LXtFkjw3qL_point0_query_0022.png, training/1LXtFkjw3qL_point0_database_0002.png, 0.5514296889305115
testing/1LXtFkjw3qL_point0_query_0023.png, training/1LXtFkjw3qL_point0_database_0001.png, 0.5233348608016968
testing/1LXtFkjw3qL_point0_query_0024.png, training/1LXtFkjw3qL_point0_database_0002.png, 0.6895788311958313
testing/1LXtFkjw3qL_point0_query_0025.png, training/1LXtFkjw3qL_point0_database_0005.png, 0.8785936832427979
testing/1LXtFkjw3qL_point0_query_0026.png, training/1LXtFkjw3qL_point0_database_0002.png, 0.6877608895301819
testing/1LXtFkjw3qL_point0_query_0027.png, training/1LXtFkjw3qL_point0_database_0003.png, 0.7304639220237732
testing/1LXtFkjw3qL_point0_query_0028.png, training/1LXtFkjw3qL_point0_database_0004.png, 0.7066076397895813
testing/1LXtFkjw3qL_point0_query_0029.png, training/1LXtFkjw3qL_point0_database_0003.png, 0.9554113745689392
testing/1LXtFkjw3qL_point0_query_0030.png, training/1LXtFkjw3qL_point0_database_0002.png, 0.7435359954833984
testing/1LXtFkjw3qL_point0_query_0031.png, training/1LXtFkjw3qL_point0_database_0002.png, 0.7399333119392395
testing/1LXtFkjw3qL_point0_query_0032.png, training/1LXtFkjw3qL_point1_database_0005.png, 0.9698110818862915
testing/1LXtFkjw3qL_point0_query_0033.png, training/1LXtFkjw3qL_point0_database_0002.png, 0.47205668687820435
testing/1LXtFkjw3qL_point0_query_0034.png, training/1LXtFkjw3qL_point0_database_0003.png, 0.7760606408119202
testing/1LXtFkjw3qL_point0_query_0035.png, training/1LXtFkjw3qL_point0_database_0005.png, 0.6493740677833557
testing/1LXtFkjw3qL_point10_query_0000.png, training/1LXtFkjw3qL_point10_database_0001.png, 0.8712199926376343
testing/1LXtFkjw3qL_point10_query_0001.png, training/1LXtFkjw3qL_point10_database_0004.png, 0.76785808801651
testing/1LXtFkjw3qL_point10_query_0002.png, training/1LXtFkjw3qL_point10_database_0003.png, 0.745256245136261
testing/1LXtFkjw3qL_point10_query_0003.png, training/1LXtFkjw3qL_point10_database_0004.png, 0.7721506953239441
testing/1LXtFkjw3qL_point10_query_0004.png, training/1LXtFkjw3qL_point10_database_0003.png, 0.8742703199386597
testing/1LXtFkjw3qL_point10_query_0005.png, training/1LXtFkjw3qL_point10_database_0005.png, 0.6543306112289429
testing/1LXtFkjw3qL_point10_query_0006.png, training/1LXtFkjw3qL_point10_database_0001.png, 0.7720677256584167
testing/1LXtFkjw3qL_point10_query_0007.png, training/1LXtFkjw3qL_point10_database_0004.png, 0.7424649596214294
testing/1LXtFkjw3qL_point10_query_0008.png, training/1LXtFkjw3qL_point10_database_0001.png, 0.7562470436096191
testing/1LXtFkjw3qL_point10_query_0009.png, training/1LXtFkjw3qL_point10_database_0005.png, 0.7033960819244385
testing/1LXtFkjw3qL_point10_query_0010.png, training/1LXtFkjw3qL_point10_database_0001.png, 0.7073742747306824
testing/1LXtFkjw3qL_point10_query_0011.png, training/1LXtFkjw3qL_point10_database_0004.png, 0.7499351501464844
testing/1LXtFkjw3qL_point10_query_0012.png, training/1LXtFkjw3qL_point10_database_0003.png, 0.6766290664672852
testing/1LXtFkjw3qL_point10_query_0013.png, training/1LXtFkjw3qL_point10_database_0004.png, 0.7492121458053589
testing/1LXtFkjw3qL_point10_query_0014.png, training/1LXtFkjw3qL_point16_database_0002.png, 0.6536296010017395
testing/1LXtFkjw3qL_point10_query_0015.png, training/1LXtFkjw3qL_point10_database_0004.png, 0.6921226382255554
testing/1LXtFkjw3qL_point10_query_0016.png, training/1LXtFkjw3qL_point16_database_0003.png, 0.6896694302558899
testing/1LXtFkjw3qL_point10_query_0017.png, training/1LXtFkjw3qL_point10_database_0002.png, 0.7915859222412109
testing/1LXtFkjw3qL_point10_query_0018.png, training/1LXtFkjw3qL_point16_database_0003.png, 0.683342695236206
